ID_Muestra,Sitio_Proyecto,Grava_pct,Arena_pct,Limo_pct,Arcilla_pct,Humedad_pct,Limite_Liquido,Indice_Plasticidad,Capacidad_Carga_kNm2,Cohesion_kPa,Angulo_Friccion_deg,pH_Suelo,Sulfatos_ppm,Prof_Nivel_Freatico_m,Clasificacion_Target
207,Córdoba Capital,"4,06","44,16",12,"39,78","23,2","28,03","31,73","204,56","63,54","34,06","7,84","782,91","2,55",No Apto
208,Neuquén,"26,54","32,3","26,46","14,71","30,48","22,67","39,74","270,76","21,31",35,"6,76","1650,06","9,33",No Apto
209,Chubut,"0,2","23,68","12,31","63,81","21,24","37,22","28,07","148,16","80,31","27,14","6,86","63,93","3,1",No Apto
210,Tucumán,"6,43","59,86","27,77","5,94","29,12","38,36","6,77","245,44","20,96","39,24","8,48","940,62","3,77",Apto
211,Mendoza,"21,95","31,31","23,85","22,89","20,27","23,28","8,66","250,42","31,64","33,78","6,25",692,"0,86",Apto
212,Neuquén,"27,68","32,57","25,12","14,63","6,87","49,06","35,84","275,86","30,6","35,31","7,01","152,34","10,98",No Apto
213,Misiones,"26,08","18,18","5,45","50,29","16,52","18,37","23,46","240,68","72,2","30,67","6,16","927,96","12,25",Apto
214,Neuquén,"8,97","49,74","29,07","12,22","18,33","29,24","33,87","235,36","21,19","36,72","8,05","546,76","12,05",No Apto
215,San Juan,"28,49","44,68","23,17",5,"9,25","42,22","34,98","303,32","17,84","39,1","6,23","736,18","2,35",No Apto
216,Mendoza,"9,49","21,04","12,62","56,85","8,07","25,96","37,47","180,04","72,05","28,21","7,69","1425,95","13,6",No Apto
217,Buenos Aires (CABA),"13,02","14,12","25,73","47,13","21,06","48,11","38,24","180,32","61,56","26,84","6,14","1067,02","10,25",No Apto
218,Misiones,"29,86","44,02","12,04","14,08","7,55","44,59","24,42","307,48","25,71","39,18","7,68","293,06","13,51",Apto
219,Rosario,"25,99","42,73","26,82",5,"14,09","46,56","16,94","289,42","16,39","38,02","8,11","1924,76","6,98",Apto
220,Neuquén,"33,97","23,66","7,81","34,55","27,34","19,76","38,67","283,2","49,94","33,89",7,"1290,03","6,84",No Apto
221,Córdoba Capital,"26,3","57,54","22,59",5,"33,93","20,62","24,16","320,28","18,17","42,52","7,31","1543,44","11,88",Apto
222,Tucumán,"22,73","17,55","18,52","41,2","26,54","26,46","7,25","226,02","61,38","29,81",7,"204,47","1,85",Apto
223,Buenos Aires (CABA),"3,75","31,62","7,41","57,22","34,78","35,72","27,5","178,24","86,31","30,24","6,75","141,76","8,05",No Apto
224,Neuquén,"14,71","57,18","11,05","17,06","25,95","44,92","25,57","273,2",30,"40,1","8,01","87,92","12,63",No Apto
225,Neuquén,"10,61","30,99","5,31","53,1","13,81","48,46","36,35","204,42","79,69","31,42","6,68","418,15","12,54",No Apto
226,Salta,"9,76","41,93","16,72","31,59","25,16","43,17","27,86","222,9","52,51","34,53","7,81","858,1","14,36",No Apto
227,Salta,"38,92","29,88","12,53","18,67","26,06","52,14","17,22","315,44","43,87","36,75","6,52","1874,86","10,62",Apto
228,Buenos Aires (CABA),"15,72","23,71","19,96","40,61","16,15","44,55","38,82","210,3","58,1","30,26","6,62","941,27","3,51",No Apto
229,Chubut,"35,68","59,2","12,43",5,"5,53","27,25","33,06","361,12","13,9","44,9","6,84",616,"0,79",No Apto
230,Salta,"25,25","30,47","12,5","31,79","26,1","25,6","27,06","261,94","54,44","34,19","7,47","1145,77","7,45",No Apto
231,Córdoba Capital,"31,79","54,7","23,58",5,"5,65","42,85","15,25","336,56","17,93","42,77","7,14","268,27","7,95",Apto
232,Misiones,"20,11","21,5","6,2","52,19","23,94","22,71","18,07","223,44","79,04","30,47","7,86","1238,54","3,98",Apto
233,Rosario,"23,08","20,66","27,57","28,7","9,91","18,71","28,45","233,64","48,02","30,81","6,53","1158,44","2,31",No Apto
234,Mendoza,"19,7","11,56","26,31","42,44","21,97","36,29","7,52","201,92","50,39","27,41","6,03","1594,39",9,No Apto
235,Rosario,"7,81","42,58","21,7","27,91","20,12","47,87","13,98","216,4","45,37","34,34","7,94","1974,04","11,58",No Apto
236,Rosario,"28,9","28,43","19,83","22,85","5,41","19,06","29,99","272,46","38,98","34,31","8,05","539,2","14,9",No Apto
237,Mendoza,"11,23","53,22","27,31","8,24","15,89","46,68","21,8","251,36","20,55","38,21","6,15","1043,83","11,5",Apto
238,Salta,"0,97","33,66","9,63","55,73","23,03","47,46","19,08","171,2","76,21","30,29","7,53","1822,29","12,01",No Apto
239,Buenos Aires (CABA),"25,82","58,41","6,97","8,8","30,46","34,29","10,3","320,1","12,6","42,69","6,95","1581,12","9,44",Apto
240,Mendoza,"7,08","19,28","10,99","62,65","31,66","17,29","20,46","166,88","89,55","27,2","7,98","1000,44","14,8",No Apto
241,San Juan,"37,62","53,43","24,86",5,"19,52","21,98","31,97","357,34","17,87","43,55","8,19","1893,47","9,78",No Apto
242,Chubut,"38,16","48,83","5,87","7,15","26,85","43,3","14,24","350,3","24,09","42,28","8,13","161,61","12,97",Apto
243,Misiones,"36,59","48,55","19,57",5,"14,49","43,47","5,19","343,46","8,31","41,88","7,94","1865,45","14,21",Apto
244,Tucumán,"14,81","52,24","29,89",5,"15,27","50,93","28,4","263,72","18,54","38,63","6,67","148,49","13,98",No Apto
245,Salta,"0,62","48,05","26,39","24,94","10,83","38,31","39,04","198,58","38,75","34,54","8,03","1117,24","6,03",No Apto
246,Chubut,"37,13","41,31","18,04",5,"21,86","19,96","26,24","331,14","16,72","39,82","7,33","1786,36","1,64",No Apto
247,Mendoza,"17,13","16,56","6,59","59,72","14,44","19,86","9,2","201,64","80,55","28,39","6,13","562,31","2,99",No Apto
248,San Juan,"38,67","11,63","25,78","23,92","7,53","43,85","16,23","277,94","41,42","31,22","7,14","970,88","1,36",Apto
249,Tucumán,"38,54","56,04","19,97",5,"25,55","22,35","35,37","366,24","15,19","44,52","8,36","682,44","2,03",No Apto
250,Misiones,"34,12","40,83","7,87","17,17","26,23","28,14","13,14","318,14","25,34","39,07","8,22","1906,68","3,18",Apto
251,Misiones,"11,78","49,83","7,35","31,05","15,8","34,49","26,27","246,78","47,69","37,3","6,26","1656,11","5,45",No Apto
252,Salta,"15,4","34,08","27,74","22,78","7,3","15,99","19,09","229,76","36,27","33,3","7,86","1432,55","8,38",Apto
253,Mendoza,"34,05","15,87","21,73","28,36","17,79","24,95","12,27","267,94","43,62","31,57","8,01","1195,87","10,82",Apto
254,Chubut,"12,68","16,26","25,73","45,33","18,27","31,32","33,47","183,24","48,46","27,41","6,68","1650,15","3,56",No Apto
255,Buenos Aires (CABA),"6,78","44,28","26,97","21,97","25,06","26,19",31,"215,68","39,78","34,64","7,18","814,92","10,25",No Apto
256,Chubut,"22,27","31,52","19,29","26,92","14,46","20,45","28,16","252,12","40,73","33,91","7,78","922,73","10,71",No Apto
257,Chubut,"37,45","20,03","17,94","24,59","25,48","44,12","13,27","289,86","32,77","33,5","7,1","1473,5","8,6",Apto
258,Misiones,"27,84","34,58","15,76","21,82","31,14","47,53","8,42","280,52","40,8","35,94","6,28","747,62","13,6",Apto
259,Buenos Aires (CABA),"22,8","13,21","12,92","51,06","12,12","25,3","25,17","217,62","74,45","28,52","7,76","174,61","2,11",No Apto
260,Buenos Aires (CABA),"3,89","39,1","15,86","41,15","34,37","45,98","24,38","193,76","57,74","32,51","8,28","194,95","3,07",No Apto
261,Salta,"24,6","23,45","24,35","27,6","16,59","30,42","11,59","245,3","37,36","31,96","7,63","274,96","6,72",Apto
262,Tucumán,"39,6","49,88","20,05",5,"13,02","35,27","6,97","358,16","16,89","42,88","7,93","1745,88","2,34",Apto
263,Neuquén,"5,6","25,52","27,31","41,57","17,65","49,24","7,82","173,44","60,5","28,78","6,9","970,84","8,71",No Apto
264,Rosario,"20,73","32,76","16,08","30,42","7,83",45,"39,75","248,44","51,13","33,97","6,46","1440,12","6,28",No Apto
265,Rosario,"35,09","10,58","20,18","34,15","8,77","47,2","32,43","261,52","48,76","30,19","7,61","816,17","4,63",No Apto
266,Misiones,"29,63","13,62","20,78","35,96","17,43","20,47","37,27","245,76","59,13","30,01","6,82","554,49","2,96",No Apto
267,Neuquén,"27,88","29,62","19,79","22,7","27,87","17,79","11,83","270,76","34,54","34,46","8,15","727,02","5,36",Apto
268,Tucumán,"28,1",34,"22,57","15,34","32,01","50,74","38,62","280,4","21,68","35,82","6,31","1598,66","9,32",No Apto
269,Neuquén,"14,38",40,"10,94","34,68","24,94","30,51","9,99","237,52","45,95","34,88","7,08","1269,17","8,85",Apto
270,Salta,"11,74","24,58","17,81","45,86","8,16","26,52","22,82","196,12","64,72","29,72","6,99","1878,4","2,87",No Apto
271,Chubut,"32,37","44,75","7,61","15,27","25,16","43,99","34,04","318,98",28,"39,9","8,35","1375,42","2,31",No Apto
272,Misiones,"32,4","53,01","14,61",5,"24,06","48,46","17,24","335,62","17,64","42,38","6,38","1161,85","0,89",Apto
273,Buenos Aires (CABA),"34,68","48,99","17,19",5,"29,17","49,5","19,87","336,7","15,55","41,63","6,02","1239,88","0,68",Apto
274,Misiones,"36,53","11,98","21,31","30,18","29,76","27,64","9,49","270,08","51,1","30,9","6,6","1887,62","13,26",Apto
275,Rosario,"20,45","34,03","28,76","16,76","31,05","49,09","9,3","249,86","28,81","34,3","8,05","1586,99","1,15",Apto
276,Tucumán,"20,06","15,25","20,02","44,68","17,42","16,64","26,68","210,74","53,63","28,59","6,52","96,88","11,1",No Apto
277,Neuquén,"31,93","22,1","23,59","22,38","25,94","16,99","28,64","271,92","36,25","33,02","6,6","1091,57","13,14",No Apto
278,Tucumán,26,"59,33","17,66",5,"13,05","39,94","32,21","322,66","5,97",43,"6,32","1392,26","1,92",No Apto
279,Salta,"28,08","17,12","20,85","33,94","34,98","17,52","24,48","246,56","52,08","30,75","7,79","1509,96","6,83",Apto
280,Misiones,"31,83","34,94","6,77","26,45","10,26","27,98","27,6","297,2","47,03","36,85","6,17","465,63","14,45",No Apto
281,Mendoza,"35,6","40,91","11,36","12,13","5,3","41,91","5,47","324,22","19,62","39,39","6,83",1741,"12,6",Apto
282,Misiones,"13,52","45,12","14,05","27,31","9,46","28,49","10,68","244,32","49,86","36,24","6,71","1913,89","7,6",Apto
283,Buenos Aires (CABA),"15,02","37,98","16,81","30,18","28,28","22,18","39,47","236,04","50,43","34,4","7,39","511,59","11,56",No Apto
284,Misiones,"3,76","10,49","6,14","79,61","18,4","26,25","7,66","136,02","111,56","23,9","7,83","1771,1","12,58",No Apto
285,San Juan,"23,13","26,32","8,5","42,05","18,43","33,3","28,76","245,16","61,41","32,52","7,33","239,11","5,55",No Apto
286,Salta,"1,44","35,89","11,92","50,76","33,65","34,02","11,16","177,54","65,95","31,06","8,33","158,63","13,44",No Apto
287,Córdoba Capital,"18,62","14,39","29,29","37,69","32,59","46,32","30,09","203,26","59,13","28,04","8,38","301,99","7,32",No Apto
288,Salta,"21,71","27,53","13,28","37,48","14,34","45,01","29,71","241,9","51,85","32,6","6,9","162,6","8,15",No Apto
289,Neuquén,"11,46","11,66","17,05","59,83","11,27","33,27","13,2","169,16","82,39","25,79","7,94","1697,77",15,No Apto
290,Córdoba Capital,"23,63","13,93","9,9","52,54","30,45","48,83","14,44","222,38","72,19","28,9","7,85","165,15","12,73",Apto
291,Neuquén,"1,22","29,85","20,27","48,66","32,18","19,57","27,92","164,58","74,02","29,2","8,23","579,75","5,75",No Apto
292,Neuquén,"1,49","16,64","12,02","69,85","21,25","25,21","18,65","139,24","97,47","25,29","7,12","252,32","0,65",No Apto
293,Buenos Aires (CABA),"32,9","38,38","10,17","18,54","23,88","48,12","11,81","308,36","31,85","38,09","7,33","626,07","9,58",Apto
294,Buenos Aires (CABA),"14,41","44,47","17,91","23,2","12,71","30,12","30,61","246,58","28,08","36,22","7,04","226,59","10,71",No Apto
295,Chubut,"5,08","50,03","5,14","39,75","29,02","54,25","10,4","220,38","54,52","36,02","8,13","1352,61","9,94",Apto
296,Rosario,"20,89","20,01","5,19","53,91","23,96","33,65","34,95","223,58","78,21","30,18","6,57","309,99","14,53",No Apto
297,Chubut,"30,8","18,37","10,48","40,35","20,11","46,68","23,01","259,94","59,82","31,67","6,6","1711,1","13,01",Apto
298,Chubut,"8,63","15,23","5,92","70,22","6,8","31,09","8,7","164,98","86,75","26,3","6,93","1643,52","7,01",No Apto
299,Rosario,"24,92","41,82","7,7","25,56","32,48",32,"29,29","283,32","31,64","37,53","6,58","76,64","1,41",No Apto
300,Mendoza,"3,41","45,32","13,47","37,79","23,46","30,32","23,17","204,28","56,33","34,28","7,4","1796,67","7,4",No Apto
301,Córdoba Capital,"2,07","11,58","25,06","61,29","10,78","43,76","15,43","131,44","78,26","23,89","6,34","106,44","10,49",No Apto
302,Tucumán,"21,25","56,81","19,3",5,"23,19","36,9","19,79","298,62","11,2","41,29","6,8","517,31","9,31",Apto
303,Chubut,"21,63","12,6","17,82","47,96","25,32","52,75","15,44","211,72","70,92","28,11","8,28","113,16","8,3",No Apto
304,Misiones,"25,5","37,06","12,34","25,1","20,77","25,04","14,21","276,12","46,13","36,22","7,02","704,89","7,3",Apto
305,Misiones,"29,04","45,45","28,29",5,"26,54","19,02","10,73","307,06","12,25","39,44","7,87","1052,04","4,76",Apto
306,Neuquén,"39,03","53,55","14,93",5,"22,44","30,73","17,7","363,22","15,78","43,87","6,28","1603,46","4,52",Apto
307,Rosario,"20,65","45,7","7,18","26,47","33,43","39,67","13,78",274,"41,39","37,84","6,62","709,06","7,75",Apto
308,Neuquén,"12,92","50,09","20,43","16,57","6,61","49,43","28,92","251,86","29,06","37,61","8,02","1425,71","2,83",No Apto
309,San Juan,"31,81","26,97","7,85","33,37","8,19","28,85","28,94","281,18","50,25","34,45","7,91","415,63","5,44",No Apto
310,San Juan,"10,83","50,74","13,63","24,79","10,21","41,15","22,56","244,8","43,53","37,39","6,97","1513,67","5,2",Apto
311,Tucumán,"17,56","14,01","17,69","50,75","25,71","29,01","32,23","198,26","67,53","27,72","8,39","510,19","9,01",No Apto
312,Buenos Aires (CABA),"3,14","54,74","26,86","15,27","24,37","39,69","34,45","222,04","20,7","37,05","8,28","329,91","1,47",No Apto
313,Buenos Aires (CABA),"1,01","37,38","17,34","44,27","31,76","50,39","25,29","178,8","71,57","31,42","8,41","411,55","12,53",No Apto
314,Rosario,"38,51","50,86","22,56",5,"26,99","24,25","26,66","355,76","21,45","42,96","7,07","405,02","8,65",No Apto
315,Rosario,"33,44","32,62","29,82",5,"20,25","31,17","14,9",299,"10,48","36,47","6,49","1050,08","10,23",Apto
316,Chubut,"27,84","42,18","8,29","21,69","34,75","54,73","36,32","295,72","36,71","38,22","7,57","1697,36","10,69",No Apto
317,San Juan,"16,36","36,32","11,87","35,45","12,98","49,74","5,85","238,08","57,59","34,17","7,71","205,23","4,73",Apto
318,Chubut,"6,93","46,58","14,86","31,62",30,"37,59","17,2","220,88","51,69","35,36","6,31","1428,56","7,32",Apto
319,Buenos Aires (CABA),"6,26","14,08","15,55","64,12","17,8","35,67","30,26","153,2","89,25","25,48","7,97","1325,98","14,37",No Apto
320,Córdoba Capital,"10,01","13,02","15,28","61,7","24,46","26,38","7,8","166,08","83,19","25,91","6,05","1751,41","11,62",No Apto
321,Córdoba Capital,"21,97","22,36","27,69","27,99","26,82","35,69","11,41","232,6","52,22","31,1","7,21","526,09","14,56",Apto
322,Rosario,"28,58","17,98","22,85","30,59","24,01","48,93","25,63","250,28","47,81","31,11","6,83","927,71","11,32",No Apto
323,Neuquén,"26,41","53,59","20,2",5,"9,22","42,41","24,6","312,82","13,43","41,36","7,85","1855,36","3,05",Apto
324,Buenos Aires (CABA),"11,2","20,96","12,73","55,11","18,29","26,6","30,86","186,72","80,49","28,53","6,78","1336,99","1,44",No Apto
325,Córdoba Capital,"38,19","58,79","25,59",5,"21,84","23,06","33,44","370,34","16,48",45,"8,07","808,1","8,88",No Apto
326,Buenos Aires (CABA),"29,52","26,84","28,88","14,76","30,47","25,61","9,5","271,76","29,46","33,96","7,49","306,25","5,69",Apto
327,Salta,"22,17","19,11","25,53","33,19","18,31","21,79","5,64","226,9","50,84","30,17","7,98","561,85","4,49",Apto
328,Misiones,"24,47","49,48","5,04","21,01","32,56","18,83","29,14","296,84","37,7","39,74","8,47","1183,37","12,2",No Apto
329,San Juan,"16,78","42,94","20,91","19,37","18,21","31,77","15,55",253,"28,35","36,24","7,7","1450,43","5,82",Apto
330,Chubut,"9,91","34,91","6,28","48,9","21,46","19,53","26,91","209,46","61,42","32,46","8,46","292,62","5,1",No Apto
331,Buenos Aires (CABA),"14,24","37,77","11,44","36,55","28,89","21,88","10,27","232,5","61,03","34,18","6,07","1219,21","12,82",Apto
332,Misiones,"30,31","45,96","6,49","17,24","22,49","36,89","21,42","313,16","31,94","39,85","6,85","1123,18","12,77",Apto
333,Salta,"0,58","21,42","20,09","57,91","33,81","21,58","22,65","145,16","83,35","26,54","6,27","1052,21","5,67",No Apto
334,Chubut,"4,64","59,82","22,16","13,38","24,81","17,56","25,48","238,2","17,26","38,87","6,66","1395,74","12,57",No Apto
335,Buenos Aires (CABA),"1,84","58,74","7,86","31,56","20,68","27,7","22,96","224,84","53,21","37,99","8,1","1683,03","12,84",Apto
336,Rosario,"1,63","42,52","14,6","41,26","5,71","23,81","22,35","191,56","56,9","33,08","6,08","679,83","6,65",No Apto
337,Misiones,"34,22","19,98","16,41","29,4","17,41","35,61","16,65","276,84","41,25","32,84","7,3","1783,57","1,46",Apto
338,Chubut,"28,15","44,01","14,23","13,62","13,98","19,09","7,49","300,62","26,03","38,83","7,42","363,24","0,52",Apto
339,Buenos Aires (CABA),"18,97","13,61","8,03","59,4","27,44","45,07","8,13","203,1","76,39","27,88","7,4","387,4","8,09",No Apto
340,Misiones,"3,91","11,53","15,47","69,08","11,25","51,25","20,18","138,7","92,89","24,24","7,19","570,21","5,49",No Apto
341,Salta,"19,66","22,88","23,78","33,67","11,16","44,74","17,45","224,4","49,72","30,8","7,98","283,09","14,96",Apto
342,Buenos Aires (CABA),"18,94","33,13","6,78","41,15","10,69","36,31","23,06","242,02","64,68","33,73","6,33","499,12","11,7",Apto
343,Buenos Aires (CABA),"6,93","53,41",7,"32,65","8,77","49,43","15,67","234,54","56,75","37,41","6,78","257,5","11,54",Apto
344,Buenos Aires (CABA),"17,35","46,36","13,87","22,42","14,33","42,8","29,08","262,12","44,31","37,38","7,54","1652,42","14,35",No Apto
345,Tucumán,"15,94","47,14","28,54","8,38","31,58","15,42","35,24","258,04","8,73","37,33","7,73","320,99","13,37",No Apto
346,Rosario,"24,63","31,27","21,71","22,38","28,25","30,76","15,46","261,06","32,18","34,31","7,01","1507,23","5,11",Apto
347,Salta,"25,4","27,3","21,97","25,33","27,06","49,04","11,75","256,2","29,02","33,27","8,19","143,43","2,91",Apto
348,Chubut,"1,81","28,55","14,05","55,59","28,92","28,83","9,07","164,34","70,74","28,93","7,04","1899,61","11,32",No Apto
349,Tucumán,"14,98","59,38","19,84","5,79","13,08","16,41","26,57","278,68","13,7","40,81","7,01","1436,76","5,98",No Apto
350,Neuquén,"25,03","12,01","5,25","57,71","31,62","44,85","20,53","224,14","81,3","28,61","6,09","63,25","7,36",Apto
351,Tucumán,"20,13","53,35","20,9","5,62","9,12","47,08","11,58","287,22","14,14","40,03","7,38","1539,52","9,64",Apto
352,San Juan,"34,26","38,93","27,83",5,"15,09","21,42","27,86","314,9","13,54","38,53","7,77","1052,46","13,66",No Apto
353,San Juan,"26,35","31,93","20,31","21,41","22,6","36,49","10,2","269,26","36,6","34,85","6,29","1569,76","6,58",Apto
354,Buenos Aires (CABA),"6,52","46,26","26,84","20,38","8,09","22,68","24,4","218,6","25,91","35,18","6,76","1068,87","11,86",No Apto
355,Tucumán,"2,82","34,33","23,1","39,74","26,9","43,77","23,45","179,94","53,5","30,86","7,95",1300,"4,39",No Apto
356,Neuquén,"25,7","53,67","8,01","12,62","16,62","25,86","30,7","310,14","22,63","41,24","6,91","1583,35","10,62",No Apto
357,Tucumán,"1,06","55,04","27,56","16,34","28,53","27,65","6,93","214,32","28,6","36,72","6,6","839,96","0,52",No Apto
358,Rosario,"23,43","31,09","6,66","38,82","19,79","48,8","36,08","255,9","56,97","34,01","7,68","55,28","13,14",No Apto
359,Rosario,"37,61","23,84","18,35","20,2","10,43","34,05","29,6","298,12","41,74","34,67","6,49","1707,4","0,94",No Apto
360,Neuquén,"23,02","39,62","8,55","28,81","27,04","41,79","12,56","271,32","49,11","36,49","8,24","792,74","10,83",Apto
361,Tucumán,"15,53","55,62","5,29","23,56","12,56","31,09","11,42","273,36","34,43","39,79","6,26","1017,28","1,17",Apto
362,Misiones,"25,73","20,53","15,55","38,18","19,72","26,92","20,11","243,98","54,51","31,3","7,77","65,14","4,36",Apto
363,Rosario,"18,33","41,15","12,38","28,15","7,27","40,02","33,61","255,62","42,13","36,01","7,25","1009,58","7,71",No Apto
364,Rosario,"21,82","41,58","17,15","19,45","23,54","21,19","34,5","270,44","30,77","36,84","8,17","1973,65","6,59",No Apto
365,Córdoba Capital,"37,66","46,66","19,43",5,"24,98","29,92","23,22","343,96","17,36","41,53","6,32","592,62","3,28",Apto
366,Tucumán,"15,44","16,58","6,09","61,88","16,36","23,36","35,13","194,92","74,96","28,06","7,69","821,07","5,34",No Apto
367,Rosario,"38,45","45,79","8,08","7,69","33,63","42,83","5,19","345,38","23,63","41,43","7,43","1390,02","11,05",Apto
368,Salta,"36,21","55,45","18,97",5,"31,23","52,77","6,23","355,74","24,47","43,88","7,2","1638,85","10,2",Apto
369,Tucumán,"7,83","18,98","13,58","59,61","26,24","54,82","36,91","169,28","80,18","27,26","7,23","863,91","1,54",No Apto
370,San Juan,"2,77","21,88","23,23","52,12","26,41","33,01","32,14","154,84","71,1","27,12","7,8","653,85","11,34",No Apto
371,Córdoba Capital,"4,03","58,57","21,31","16,09","12,57","25,1","20,77","233,26","30,09","38,38","8,34","1878,76","1,27",Apto
372,Rosario,"0,73","19,05","26,14","54,08","24,7","32,71","31,38","141,02","79,99","25,86","6,23","1370,43","8,37",No Apto
373,Córdoba Capital,"3,78","52,72","22,31","21,19","10,95","48,89","38,45","220,56","33,81","36,57","6,05","282,09","4,27",No Apto
374,San Juan,"27,32","34,61","15,75","22,32","9,32","23,24","32,02","278,5","41,45","35,85","8,01","184,41","9,02",No Apto
375,Neuquén,"2,85","22,36","21,82","52,97","34,98","53,08","34,48","156,12","76,01","27,28","6,27","992,92","4,29",No Apto
376,Neuquén,"12,76","53,54","11,88","21,82","23,67","28,67","31,62","258,12","47,99","38,61","8,47","479,18","14,78",No Apto
377,Tucumán,"33,8","32,27","12,66","21,28","17,93","54,43","10,89","299,74","33,89","36,44","7,55","545,27","4,99",Apto
378,San Juan,"0,93","35,74","24,72","38,6","13,64","48,54","34,18","175,2","46,44","30,91","7,63","1761,5","4,01",No Apto
379,Mendoza,"32,58","27,96","16,16","23,3","23,12","47,34","11,83","286,24","30,8","34,9","6,5","224,65","4,54",Apto
380,Mendoza,"11,27","39,65","24,96","24,12","6,49","27,72","36,24","224,38",39,"34,15","6,6","1444,96","13,5",No Apto
381,Tucumán,"4,73","18,18","25,56","51,54","7,84","15,35","21,05","155,28","76,99","26,4","7,65","578,73","9,73",No Apto
382,Buenos Aires (CABA),"27,87","29,55","26,44","16,14","5,99","30,29","28,69","270,58","26,11","34,44","8,27","1532,64","11,09",No Apto
383,Córdoba Capital,"25,16","58,47","27,92",5,"19,98","27,07","22,4","317,58","14,85","42,57","8,46","1458,7","13,81",Apto
384,Córdoba Capital,"35,1","22,91","15,77","26,22","23,02","16,5","8,29","286,22","44,89","33,89","6,5","64,41","13,72",Apto
385,Neuquén,"29,4","42,84","12,97","14,79","6,87","35,21","15,18","303,28","22,92","38,73","6,34","1042,81","11,21",Apto
386,Mendoza,"32,14","26,26","19,55","22,05","26,64","31,12","39,43","281,08","33,4","34,31","6,14","321,67","3,37",No Apto
387,Chubut,"11,28","48,67","14,28","25,77","11,91","40,38","38,63","242,46","35,09","36,86","8,17","1739,14","12,73",No Apto
388,Rosario,"7,1","16,54","20,03","56,33","25,56","39,85","16,22","161,48","83,49","26,38","6,74","1749,59","3,45",No Apto
389,Rosario,"30,02","58,49","22,64",5,"34,46","19,83","39,87","337,06","23,71","43,55",6,"865,77","11,27",No Apto
390,Rosario,"32,27","32,69","22,21","12,83","25,73","54,08","34,59","294,46","17,5","36,26","6,56","916,57","10,44",No Apto
391,Neuquén,"39,62","21,8","14,36","24,21","31,5","22,48","26,38","302,08","38,34","34,46","6,85","641,4","11,5",No Apto
392,San Juan,"16,5","13,67","9,17","60,65","33,45","32,81","6,4","193,34","89,82","27,4","8,48","1447,38","8,22",No Apto
393,Misiones,"14,88","18,49","15,76","50,87","19,6","34,52","36,55","196,5","73,04","28,52","7,31","749,39","9,76",No Apto
394,Mendoza,"31,06","35,99","8,56","24,39","26,07","47,52","24,51","296,22","36,82","37,01","6,51","572,2","14,32",Apto
395,Mendoza,"13,63","26,85","27,25","32,27","30,56","18,97","35,4","208,22","40,99","30,78","6,84","892,85","1,97",No Apto
396,Chubut,"37,23","51,44","13,65",5,"15,7","32,15","34,21","351,8","21,76","42,88","6,83","228,4","4,98",No Apto
397,Córdoba Capital,"34,34","31,54","8,86","25,26","12,84","40,14","34,16","300,44","42,11","36,33","6,05","1505,88","9,36",No Apto
398,Buenos Aires (CABA),"17,16","22,44","5,64","54,77","33,4","23,61","29,44","213,52","68,36","30,16","6,34","74,56","14,48",No Apto
399,Tucumán,"30,03","40,86","21,15","7,96","26,79","40,1","15,2","301,84","25,5","38,26","7,74","1306,75","1,89",Apto
400,Córdoba Capital,"30,18","45,34","20,92",5,"11,59","51,95","16,77","311,4",8,"39,64","6,3","406,59","0,83",Apto
401,San Juan,"4,12","18,35","13,52","64,01","18,47","54,9","15,8","153,18","85,71","26,33","6,58","503,19","1,31",No Apto
402,Tucumán,"36,1","18,38","6,79","38,72","28,89","16,3","5,7","281,16","55,14","32,73","6,88","1289,48","1,26",Apto
403,Mendoza,"20,21","11,83","15,24","52,72","21,41","24,42","25,39","204,5","81,36","27,59","7,89","1986,24","13,66",No Apto
404,San Juan,"33,06","46,82","12,78","7,34","24,5","27,41","29,46","325,88","17,5","40,66","7,46","1566,55","10,96",No Apto
405,Tucumán,"12,8","43,19","21,93","22,08","27,61","30,97","34,89","237,58","35,17","35,52","7,72","490,39","10,32",No Apto
406,Chubut,"35,82","33,73","20,14","10,3","23,66","24,69","9,91","310,74","15,54","37,28","7,42","393,25","8,08",Apto
407,Chubut,"15,57","52,21","14,11","18,11","21,2","23,14","24,05","266,7","28,53","38,78","7,71","1739,15","11,84",Apto
408,Salta,"0,43","50,28","10,45","38,84","27,49","53,18","5,28","202,28","52,52","35,17","6,01","916,16","2,76",No Apto
409,Misiones,"36,22","39,27","29,7",5,"26,83","51,74","8,33","323,42","12,17","39,02","8,33","317,25","6,18",Apto
410,Chubut,"3,65","53,41","16,35","26,58","23,9","16,88","6,9","221,42","41,93","36,75","6,28","1731,31","7,61",Apto
411,Mendoza,"12,77","20,29","22,21","44,73","15,79","28,55","30,39","191,66","51,51","28,64","7,02","1641,38","2,1",No Apto
412,Buenos Aires (CABA),38,"15,6","8,51","37,89","17,17","31,21","7,84","283,2","47,92","32,28","7,93","1968,62","6,58",Apto
413,Rosario,"38,02","23,49","17,14","21,35","34,11","24,56","30,08","299,06","35,06","34,65","7,09",1824,"5,09",No Apto
414,Salta,"22,94","12,85","5,69","58,52","8,37","40,15","13,74","217,46","80,83","28,44","8,37","1710,99","1,02",No Apto
415,Rosario,"25,27","36,56","17,64","20,53","13,06","40,62","35,72","274,2","33,47","36,02","7,17","152,52","2,48",No Apto
